epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.3907,1.34076,3.25741,1.26479,1,0.70897,0.85452,0.53006,1.02227,2.88694,0.92493,0.00328125,0.00328125,0.00328125
2,17.4872,1.14204,1.77258,1.03326,0.91506,0.92873,0.95585,0.5825,1.08343,1.96365,0.97815,0.00660803,0.00660803,0.00660803
3,25.4517,1.14952,1.36054,1.06951,0.90222,0.93103,0.97601,0.62512,0.99381,1.31567,1.02141,0.00992822,0.00992822,0.00992822
4,33.3232,1.1524,1.14322,1.08325,0.91403,0.83621,0.89789,0.53084,1.1718,1.21416,1.09445,0.0099703,0.0099703,0.0099703
5,41.1305,1.09753,0.97182,1.05265,0.90326,0.94828,0.9675,0.70338,0.87856,1.07462,0.95497,0.0099604,0.0099604,0.0099604
6,48.9867,1.11299,0.88252,1.05508,0.69608,0.59235,0.71082,0.48657,0.96021,1.34018,1.02219,0.0099505,0.0099505,0.0099505
7,56.7919,1.05265,0.79761,1.04309,0.90986,0.97414,0.98638,0.76056,0.82597,0.66032,0.93821,0.0099406,0.0099406,0.0099406
8,64.7035,1.02312,0.77243,1.0519,0.93369,0.97111,0.97477,0.69962,0.80668,1.0019,0.9335,0.0099307,0.0099307,0.0099307
9,72.4945,1.00992,0.75114,1.0521,0.92654,0.97857,0.9771,0.71925,0.88393,0.70943,0.91878,0.0099208,0.0099208,0.0099208
10,80.3577,1.01539,0.71975,1.03382,0.99067,0.91562,0.98853,0.78627,0.80246,0.60173,0.92801,0.0099109,0.0099109,0.0099109
11,88.3138,0.9821,0.69192,1.01652,0.86998,0.92288,0.95595,0.71823,0.80056,0.85115,0.92305,0.009901,0.009901,0.009901
12,96.0753,0.96504,0.67751,1.01891,0.98547,0.96552,0.99393,0.73105,0.94319,0.59213,0.93527,0.0098911,0.0098911,0.0098911
13,103.877,0.96243,0.65555,1.01062,0.96676,1,0.99422,0.7962,0.77472,0.58962,0.90766,0.0098812,0.0098812,0.0098812
14,111.656,0.96342,0.64052,1.01128,0.96599,0.97945,0.9898,0.79299,0.71008,0.54684,0.91248,0.0098713,0.0098713,0.0098713
15,119.501,0.92422,0.62757,1.0116,0.98269,0.97876,0.99297,0.788,0.71937,0.49483,0.88787,0.0098614,0.0098614,0.0098614
16,127.341,0.93255,0.61762,1.00642,0.94664,0.98276,0.97492,0.74954,0.74089,0.54986,0.89021,0.0098515,0.0098515,0.0098515
17,135.171,0.923,0.60983,1.0027,0.7928,0.93103,0.88991,0.71757,0.77869,0.64438,0.9291,0.0098416,0.0098416,0.0098416
18,142.932,0.8974,0.60949,0.99271,0.94978,0.97831,0.99107,0.82472,0.6573,0.47534,0.87964,0.0098317,0.0098317,0.0098317
19,150.778,0.89094,0.59869,0.9863,0.94094,0.99138,0.98855,0.77476,0.74169,0.50744,0.89254,0.0098218,0.0098218,0.0098218
20,158.796,0.90549,0.59615,1.00643,0.99635,1,0.995,0.81727,0.70961,0.48368,0.8924,0.0098119,0.0098119,0.0098119
21,166.81,0.91574,0.60158,1.01652,0.95858,1,0.99363,0.82026,0.66165,0.52303,0.89513,0.009802,0.009802,0.009802
22,174.801,0.89784,0.58404,1.00507,0.91676,0.97414,0.98756,0.82756,0.66784,0.49748,0.86995,0.0097921,0.0097921,0.0097921
23,182.975,0.90344,0.58356,1.00238,0.96785,0.96552,0.99261,0.829,0.65309,0.48172,0.86569,0.0097822,0.0097822,0.0097822
24,190.931,0.87413,0.56714,0.98934,0.99449,0.99138,0.995,0.85568,0.6475,0.44395,0.8719,0.0097723,0.0097723,0.0097723
25,198.788,0.86297,0.55533,0.97861,0.98292,0.99247,0.99491,0.83826,0.6878,0.46359,0.8817,0.0097624,0.0097624,0.0097624
26,206.698,0.8494,0.53767,0.97839,0.99112,0.96226,0.99333,0.84836,0.64132,0.46426,0.87519,0.0097525,0.0097525,0.0097525
27,214.6,0.85144,0.54517,0.99455,0.80325,0.99138,0.9427,0.79156,0.69812,0.56399,0.89349,0.0097426,0.0097426,0.0097426
28,222.565,0.86063,0.56306,0.98283,0.99602,1,0.995,0.82025,0.69136,0.46168,0.87863,0.0097327,0.0097327,0.0097327
29,230.426,0.84,0.5552,0.98311,0.93921,1,0.98846,0.81772,0.63716,0.48232,0.86253,0.0097228,0.0097228,0.0097228
30,238.343,0.83985,0.53535,0.97187,0.98841,1,0.99397,0.81937,0.63908,0.45227,0.86363,0.0097129,0.0097129,0.0097129
31,246.23,0.87934,0.5528,0.9829,0.90568,0.99335,0.98663,0.80202,0.71098,0.48402,0.88338,0.009703,0.009703,0.009703
32,254.169,0.83224,0.52517,0.97621,0.99046,1,0.99491,0.84868,0.64081,0.4141,0.86664,0.0096931,0.0096931,0.0096931
33,262.092,0.82688,0.53488,0.97435,0.98278,0.98425,0.99448,0.84231,0.62696,0.42942,0.86153,0.0096832,0.0096832,0.0096832
34,270.11,0.8137,0.51291,0.97453,0.98186,1,0.99474,0.84925,0.61822,0.40609,0.87618,0.0096733,0.0096733,0.0096733
35,277.942,0.81047,0.52282,0.97843,0.98114,1,0.99335,0.83848,0.63374,0.43055,0.86208,0.0096634,0.0096634,0.0096634
36,285.843,0.81787,0.52189,0.97391,0.9806,1,0.99457,0.86214,0.6117,0.40864,0.84941,0.0096535,0.0096535,0.0096535
37,293.741,0.7905,0.50236,0.96395,0.98197,1,0.99483,0.85696,0.6209,0.39853,0.86178,0.0096436,0.0096436,0.0096436
38,301.639,0.80695,0.50647,0.9693,0.98227,1,0.99013,0.82954,0.64873,0.42899,0.84519,0.0096337,0.0096337,0.0096337
39,309.511,0.81967,0.5218,0.96511,0.98424,1,0.99457,0.83401,0.60219,0.40873,0.84826,0.0096238,0.0096238,0.0096238
40,316.937,0.79412,0.49218,0.96577,0.99565,1,0.995,0.86187,0.60732,0.40639,0.85435,0.0096139,0.0096139,0.0096139
41,323.718,0.79597,0.49064,0.95338,0.99815,1,0.995,0.85317,0.64658,0.40124,0.85625,0.009604,0.009604,0.009604
42,330.441,0.795,0.50938,0.96537,0.95549,1,0.9872,0.85894,0.57924,0.42591,0.85347,0.0095941,0.0095941,0.0095941
43,337.185,0.78156,0.48889,0.94788,0.99713,0.99138,0.995,0.83633,0.65525,0.41192,0.8706,0.0095842,0.0095842,0.0095842
